spot,slug,date,wave_height_m,wave_direction_deg,wave_period_s,swell_height_m,swell_direction_deg,swell_period_s,wind_speed_kmh,wind_direction_deg,wind_gusts_kmh,observation_label,notes
Cow Bay (Osbourne),cow-bay,2022-04-05,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-04-13,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-04-18,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-04-20,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-05-03,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-05-10,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-05-10,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-05-20,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-05-25,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-06-02,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-06-07,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-06-12,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-06-19,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-06-29,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-07-04,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-07-07,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-07-09,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-07-12,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-07-24,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-07-27,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-08-13,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-08-21,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-08-28,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-09-02,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-09-07,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-09-10,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-09-15,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-09-17,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-09-25,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-09-30,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-10-12,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-10-20,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-10-22,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-10-30,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-11-09,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-11-19,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-11-21,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-11-24,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-11-29,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-01-25,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-01-28,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-02-02,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-02-09,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-02-22,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-02-27,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-03-11,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-03-19,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-03-21,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-04-03,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-04-08,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-04-10,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-04-13,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-04-28,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-05-23,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-05-28,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-05-30,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-06-22,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-07-14,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-07-24,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-08-01,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-08-03,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-08-23,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-08-28,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-09-02,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-09-05,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-09-25,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-09-27,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-10-02,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-10-10,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-10-12,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-11-19,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-11-21,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-11-24,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-11-29,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-12-09,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-12-16,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-01-15,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-02-12,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-02-27,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-03-20,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-04-02,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-04-22,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-04-27,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-05-07,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-05-14,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-05-24,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-05-29,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-06-06,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-06-16,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-06-21,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-06-28,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-07-03,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-07-08,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-07-21,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-07-28,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-08-02,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-08-12,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-08-22,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-08-25,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-08-30,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-09-04,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-09-11,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-09-14,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-09-16,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-09-29,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-10-09,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-10-19,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-10-29,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-11-03,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-11-10,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-12-13,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-12-13,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-12-15,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-12-23,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-01-24,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-02-11,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-03-03,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-03-13,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-03-15,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-03-15,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-04-02,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-04-21,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-05-14,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-05-14,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-05-27,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-06-11,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-06-16,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-06-21,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-07-01,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-07-16,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-07-23,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-07-26,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-07-28,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-07-30,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-08-02,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-08-02,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-08-07,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-08-12,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-08-15,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-08-17,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-08-19,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-09-01,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-09-04,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-09-14,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-09-16,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-09-21,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-09-29,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-10-01,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-10-04,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-10-06,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-10-11,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-10-21,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-10-24,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-11-03,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-11-05,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-11-23,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-12-05,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-12-18,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-12-23,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2026-01-29,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2026-02-13,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2026-02-28,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2026-03-03,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2026-03-10,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2026-03-10,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2026-03-18,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2026-03-20,1.16,131,7.65,1.02,131,6.7,7.6,98,9.0,,
