spot,slug,date,wave_height_m,wave_direction_deg,wave_period_s,swell_height_m,swell_direction_deg,swell_period_s,wind_speed_kmh,wind_direction_deg,wind_gusts_kmh,observation_label,notes
Martinique Beach,martinique-beach,2022-10-30,,,,,,,,,,,
Martinique Beach,martinique-beach,2022-11-09,,,,,,,,,,,
Martinique Beach,martinique-beach,2022-11-19,,,,,,,,,,,
Martinique Beach,martinique-beach,2022-11-21,,,,,,,,,,,
Martinique Beach,martinique-beach,2022-11-24,,,,,,,,,,,
Martinique Beach,martinique-beach,2022-11-29,,,,,,,,,,,
Martinique Beach,martinique-beach,2023-01-25,,,,,,,,,,,
Martinique Beach,martinique-beach,2023-01-28,,,,,,,,,,,
Martinique Beach,martinique-beach,2023-02-02,,,,,,,,,,,
Martinique Beach,martinique-beach,2023-02-09,,,,,,,,,,,
Martinique Beach,martinique-beach,2023-02-22,,,,,,,,,,,
Martinique Beach,martinique-beach,2023-02-27,,,,,,,,,,,
Martinique Beach,martinique-beach,2023-03-11,,,,,,,,,,,
Martinique Beach,martinique-beach,2023-03-19,,,,,,,,,,,
Martinique Beach,martinique-beach,2023-03-21,,,,,,,,,,,
Martinique Beach,martinique-beach,2023-04-03,,,,,,,,,,,
Martinique Beach,martinique-beach,2023-04-08,,,,,,,,,,,
Martinique Beach,martinique-beach,2023-04-10,,,,,,,,,,,
Martinique Beach,martinique-beach,2023-04-13,,,,,,,,,,,
Martinique Beach,martinique-beach,2023-04-28,,,,,,,,,,,
Martinique Beach,martinique-beach,2023-05-23,,,,,,,,,,,
Martinique Beach,martinique-beach,2023-05-28,,,,,,,,,,,
Martinique Beach,martinique-beach,2023-05-30,,,,,,,,,,,
Martinique Beach,martinique-beach,2023-06-22,,,,,,,,,,,
Martinique Beach,martinique-beach,2023-07-14,,,,,,,,,,,
Martinique Beach,martinique-beach,2023-07-24,,,,,,,,,,,
Martinique Beach,martinique-beach,2023-08-01,,,,,,,,,,,
Martinique Beach,martinique-beach,2023-08-03,,,,,,,,,,,
Martinique Beach,martinique-beach,2023-08-23,,,,,,,,,,,
Martinique Beach,martinique-beach,2023-08-28,,,,,,,,,,,
Martinique Beach,martinique-beach,2023-09-02,,,,,,,,,,,
Martinique Beach,martinique-beach,2023-09-05,,,,,,,,,,,
Martinique Beach,martinique-beach,2023-09-25,,,,,,,,,,,
Martinique Beach,martinique-beach,2023-09-27,,,,,,,,,,,
Martinique Beach,martinique-beach,2023-10-02,,,,,,,,,,,
Martinique Beach,martinique-beach,2023-10-10,,,,,,,,,,,
Martinique Beach,martinique-beach,2023-10-12,,,,,,,,,,,
Martinique Beach,martinique-beach,2023-11-19,,,,,,,,,,,
Martinique Beach,martinique-beach,2023-11-21,,,,,,,,,,,
Martinique Beach,martinique-beach,2023-11-24,,,,,,,,,,,
Martinique Beach,martinique-beach,2023-11-29,,,,,,,,,,,
Martinique Beach,martinique-beach,2023-12-09,,,,,,,,,,,
Martinique Beach,martinique-beach,2023-12-16,,,,,,,,,,,
Martinique Beach,martinique-beach,2024-01-15,,,,,,,,,,,
Martinique Beach,martinique-beach,2024-02-12,,,,,,,,,,,
Martinique Beach,martinique-beach,2024-02-27,,,,,,,,,,,
Martinique Beach,martinique-beach,2024-03-20,,,,,,,,,,,
Martinique Beach,martinique-beach,2024-04-02,,,,,,,,,,,
Martinique Beach,martinique-beach,2024-04-22,,,,,,,,,,,
Martinique Beach,martinique-beach,2024-04-27,,,,,,,,,,,
Martinique Beach,martinique-beach,2024-05-07,,,,,,,,,,,
Martinique Beach,martinique-beach,2024-05-14,,,,,,,,,,,
Martinique Beach,martinique-beach,2024-05-24,,,,,,,,,,,
Martinique Beach,martinique-beach,2024-05-29,,,,,,,,,,,
Martinique Beach,martinique-beach,2024-06-06,,,,,,,,,,,
Martinique Beach,martinique-beach,2024-06-16,,,,,,,,,,,
Martinique Beach,martinique-beach,2024-06-21,,,,,,,,,,,
Martinique Beach,martinique-beach,2024-06-28,,,,,,,,,,,
Martinique Beach,martinique-beach,2024-07-03,,,,,,,,,,,
Martinique Beach,martinique-beach,2024-07-08,,,,,,,,,,,
Martinique Beach,martinique-beach,2024-07-21,,,,,,,,,,,
Martinique Beach,martinique-beach,2024-07-28,,,,,,,,,,,
Martinique Beach,martinique-beach,2024-08-02,,,,,,,,,,,
Martinique Beach,martinique-beach,2024-08-12,,,,,,,,,,,
Martinique Beach,martinique-beach,2024-08-22,,,,,,,,,,,
Martinique Beach,martinique-beach,2024-08-25,,,,,,,,,,,
Martinique Beach,martinique-beach,2024-08-30,,,,,,,,,,,
Martinique Beach,martinique-beach,2024-09-04,,,,,,,,,,,
Martinique Beach,martinique-beach,2024-09-11,,,,,,,,,,,
Martinique Beach,martinique-beach,2024-09-14,,,,,,,,,,,
Martinique Beach,martinique-beach,2024-09-16,,,,,,,,,,,
Martinique Beach,martinique-beach,2024-09-29,,,,,,,,,,,
